IED_COUNTER, IED_INTERPOLATED, IED_AF3, IED_F7, IED_F3, IED_FC5, IED_T7, IED_P7, IED_O1, IED_O2, IED_P8, IED_T8, IED_FC6, IED_F4, IED_F8, IED_AF4, IED_RAW_CQ, IED_GYROX, IED_GYROY, IED_MARKER, IED_TIMESTAMP,
67,0,4172.82,4171.79,4171.28,4231.79,4178.46,4167.18,4167.18,4163.08,4219.49,4189.74,4184.62,4208.21,4194.87,4186.15,842,2049,2046,0,11.3385,
68,0,4173.33,4169.74,4174.36,4232.31,4182.56,4168.72,4168.72,4170.26,4218.97,4185.13,4183.59,4205.64,4190.77,4185.13,875,2044,2046,0,11.3463,
69,0,4168.72,4168.21,4168.72,4231.79,4180,4173.85,4168.21,4170.77,4222.56,4176.92,4174.87,4206.67,4180.51,4177.44,573,2047,2048,0,11.3542,
70,0,4163.08,4166.15,4157.95,4235.9,4177.95,4169.74,4167.18,4164.62,4230.77,4175.9,4172.31,4214.36,4176.41,4172.82,790,2043,2048,0,11.3621,
71,0,4155.9,4158.46,4154.87,4244.62,4173.85,4164.1,4159.49,4154.87,4244.62,4169.23,4165.13,4215.9,4170.77,4165.64,807,2046,2048,0,11.37,
72,0,4158.97,4163.08,4156.41,4241.03,4176.41,4164.62,4156.92,4156.41,4243.08,4167.18,4165.64,4213.33,4173.85,4169.23,785,2044,2048,0,11.3779,
73,0,4161.03,4167.18,4157.44,4237.44,4183.59,4168.21,4160.51,4163.08,4230.26,4170.26,4171.28,4214.36,4176.92,4173.85,866,2043,2046,0,11.3857,
74,0,4153.85,4158.46,4154.87,4242.05,4181.03,4166.15,4161.03,4161.54,4229.74,4166.67,4162.05,4222.05,4167.69,4163.59,837,2040,2047,0,11.3936,
75,0,4156.41,4158.46,4150.77,4238.97,4174.36,4163.08,4161.03,4157.44,4234.87,4166.67,4154.87,4225.64,4163.59,4158.46,847,2038,2045,0,11.4015,
76,0,4162.56,4165.64,4157.44,4233.85,4172.31,4164.62,4164.1,4157.44,4234.36,4168.21,4162.56,4216.92,4168.72,4164.62,849,2036,2044,0,11.4094,
77,0,4169.74,4170.77,4162.05,4229.74,4180,4166.67,4171.28,4157.95,4233.33,4172.31,4172.82,4211.28,4178.46,4174.36,524,2035,2044,0,11.4173,
